id,reaction_id,reaction_name,pathway
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS6M8,6-methyl-octanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS7M8,7-methyl-octanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS80,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS8M10,8-methyl-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS8M9,8-methyl-nonanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS9M10,9-methyl-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,4HBZt2,4-Hydroxybenzoate transport via proton symport,"Transport, extracellular"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,4HTHRS,4-Hydroxy-L-threonine synthase,Vitamin B6 metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,4NTPPH2,4-Nitrophenyl phosphate phosphohydrolase,Aminobenzoate degradation
Bacteroides_xylanisolvens_XB1A_AGORA1_03,5AIZCDC,5aizc decarboxylase,Purine catabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,5DGLCNR,5-dehydro-D-gluconate reductase,Pentose phosphate pathway
Bacteroides_xylanisolvens_XB1A_AGORA1_03,6PHBG,6-phospho-beta-glucosidase,Glycolysis/gluconeogenesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,7AHSDH,7-alpha-hydroxysteroid dehydrogenase,Bile acid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,7AHSDHe,"7-alpha hydroxysteroid dehydrogenase, NAD+ dependent, cholate specific",Bile acid metabolism
